route_id,seq,node_id,lon,lat
10690894231__2334439514__cand_02_corridor,26,4718388084,-8.6065719,41.174767
10690894231__2334439514__cand_02_corridor,27,444004669,-8.6064201,41.1746418
10690894231__2334439514__cand_02_corridor,28,411506246,-8.6060761,41.1743536
10690894231__2334439514__cand_02_corridor,29,411504969,-8.6059099,41.1738583
10690894231__2334439514__cand_02_corridor,30,128597080,-8.6058176,41.1736115
10690894231__2334439514__cand_02_corridor,31,128580161,-8.6057063,41.1732573
10690894231__2334439514__cand_02_corridor,32,128579825,-8.6069755,41.1728655
10690894231__2334439514__cand_02_corridor,33,12986991569,-8.6077198,41.1732119
10690894231__2334439514__cand_02_corridor,34,2490198505,-8.6103207,41.1742979
10690894231__2334439514__cand_02_corridor,35,3092784194,-8.6186796,41.1738557
10690894231__2334439514__cand_02_corridor,36,1110673464,-8.620333,41.1736917
10690894231__2334439514__cand_02_corridor,37,1105984390,-8.6228809,41.1734283
10690894231__2334439514__cand_02_corridor,38,26015929,-8.6254855,41.1731767
10690894231__2334439514__cand_02_corridor,39,26016417,-8.6400656,41.1687869
10690894231__2334439514__cand_02_corridor,40,25503951,-8.6420446,41.168347
10690894231__2334439514__cand_02_corridor,41,1243857957,-8.6433016,41.1682558
10690894231__2334439514__cand_02_corridor,42,112589349,-8.6438249,41.1686788
10690894231__2334439514__cand_02_corridor,43,4722746602,-8.6440568,41.1688009
10690894231__2334439514__cand_02_corridor,44,112263308,-8.6526817,41.1758181
10690894231__2334439514__cand_02_corridor,45,4656694945,-8.6534668,41.1765788
10690894231__2334439514__cand_02_corridor,46,4656694942,-8.6539205,41.1769507
10690894231__2334439514__cand_02_corridor,47,111649545,-8.6542056,41.17718
10690894231__2334439514__cand_02_corridor,48,5476877921,-8.6550611,41.1779551
10690894231__2334439514__cand_02_corridor,49,111636738,-8.6550529,41.1779667
10690894231__2334439514__cand_02_corridor,50,10828125192,-8.654637,41.1782172
10690894231__2334439514__cand_02_corridor,51,1353862705,-8.6541893,41.1783531
10690894231__2334439514__cand_02_corridor,52,4606349508,-8.652779,41.1807321
10690894231__2334439514__cand_02_corridor,53,11028544799,-8.6528908,41.181344
10690894231__2334439514__cand_02_corridor,54,1398246221,-8.6531732,41.1819902
10690894231__2334439514__cand_02_corridor,55,1837851213,-8.6533132,41.1819954
10690894231__2334439514__cand_02_corridor,56,3237136830,-8.6537587,41.1819363
10690894231__2334439514__cand_02_corridor,57,6094501302,-8.6543188,41.1818645
10690894231__2334439514__cand_02_corridor,58,492795541,-8.6543893,41.1819022
10690894231__2334439514__cand_02_corridor,59,1837851208,-8.6545113,41.1818884
10690894231__2334439514__cand_02_corridor,60,4604359585,-8.6545657,41.181833
10690894231__2334439514__cand_02_corridor,61,6094493381,-8.6544685,41.181699
10690894231__2334439514__cand_02_corridor,62,2334439514,-8.6539827,41.1800319
10690894231__2334439514__cand_03_penalty,0,10690894231,-8.5990632,41.1824076
10690894231__2334439514__cand_03_penalty,1,2198252493,-8.5990134,41.1825116
10690894231__2334439514__cand_03_penalty,2,420807840,-8.5972538,41.1820433
10690894231__2334439514__cand_03_penalty,3,420776909,-8.5971857,41.1821772
10690894231__2334439514__cand_03_penalty,4,420776895,-8.5971925,41.1823245
10690894231__2334439514__cand_03_penalty,5,788826702,-8.598063,41.1825582
10690894231__2334439514__cand_03_penalty,6,788826707,-8.5989819,41.1828079
10690894231__2334439514__cand_03_penalty,7,431925048,-8.5993444,41.1829043
10690894231__2334439514__cand_03_penalty,8,430267079,-8.6011118,41.1833779
10690894231__2334439514__cand_03_penalty,9,3554953706,-8.6012067,41.1835519
10690894231__2334439514__cand_03_penalty,10,3554953708,-8.600993,41.184217
10690894231__2334439514__cand_03_penalty,11,9525240512,-8.6011819,41.1843523
10690894231__2334439514__cand_03_penalty,12,3554953710,-8.6013259,41.1843921
10690894231__2334439514__cand_03_penalty,13,9525240486,-8.6021456,41.1845755
10690894231__2334439514__cand_03_penalty,14,9525240480,-8.6024612,41.1846444
10690894231__2334439514__cand_03_penalty,15,9525240482,-8.6025098,41.184655
10690894231__2334439514__cand_03_penalty,16,430267083,-8.6026177,41.1846786
10690894231__2334439514__cand_03_penalty,17,9525240476,-8.6028387,41.1847256
10690894231__2334439514__cand_03_penalty,18,435759031,-8.6031157,41.1847846
10690894231__2334439514__cand_03_penalty,19,9525240461,-8.6034192,41.1848532
10690894231__2334439514__cand_03_penalty,20,4907380639,-8.6041594,41.1851017
10690894231__2334439514__cand_03_penalty,21,2073945447,-8.6070386,41.1855632
10690894231__2334439514__cand_03_penalty,22,3139458286,-8.6068886,41.1848625
10690894231__2334439514__cand_03_penalty,23,3139458237,-8.6071917,41.1847158
