,from_node,to_node,edge_id,length_m,travel_time_sec,weight,graph_type
1079,122525234,10915038476,122525234|10915038476|0,128.7432975700925,9.42121834783701,128.7432975700925,length
1080,122525234,122525425,122525234|122525425|0,20.698173243151132,1.5523629932363348,20.698173243151132,length
1081,122525425,90380817,122525425|90380817|0,408.6862778730512,49.04235334476615,408.6862778730512,length
1082,122525425,122522947,122525425|122522947|0,111.90520765133688,13.428624918160425,111.90520765133688,length
1083,122528341,7072162105,122528341|7072162105|0,37.78250248182919,4.533900297819503,37.78250248182919,length
1084,122528341,4722390329,122528341|4722390329|0,21.41081311997227,2.5692975743966726,21.41081311997227,length
1085,122528341,4722390331,122528341|4722390331|0,24.4253861303317,2.9310463356398038,24.4253861303317,length
1086,122528348,480482924,122528348|480482924|0,18.552388525219882,2.5790729835167756,18.552388525219882,length
1087,122528348,122528349,122528348|122528349|0,46.594198647473036,3.5384266455205764,46.594198647473036,length
1088,122528349,1279341534,122528349|1279341534|0,34.77286060908702,4.83397300754988,34.77286060908702,length
1089,122528349,122528351,122528349|122528351|0,53.915638301614564,4.094426703634899,53.915638301614564,length
1090,122528351,480495881,122528351|480495881|0,61.23958974470408,4.650617510408916,61.23958974470408,length
1091,122549700,111467467,122549700|111467467|0,278.6629839091939,19.55740387069897,278.6629839091939,length
1092,122549700,475715798,122549700|475715798|0,12.437775975797992,0.9654886752636331,12.437775975797992,length
1093,122549700,1827037244,122549700|1827037244|0,96.8144784191619,6.970642446179657,96.8144784191619,length
1094,124384923,1418798461,124384923|1418798461|0,84.81923990703505,6.206929559394643,84.81923990703505,length
1095,124384923,2671549034,124384923|2671549034|0,136.03173471628472,14.560126211204143,136.03173471628472,length
1096,125800785,125800790,125800785|125800790|0,58.90922112326856,4.241463920875336,58.90922112326856,length
1097,125800785,9115755294,125800785|9115755294|0,40.81450356099461,2.938644256391612,40.81450356099461,length
1098,125800785,1295427415,125800785|1295427415|0,30.31865981882327,3.2451509527341504,30.31865981882327,length
1099,125800790,125800785,125800790|125800785|0,58.90922112326857,4.241463920875337,58.90922112326857,length
1100,125800790,2292618105,125800790|2292618105|0,93.07126558976172,7.224704247304435,93.07126558976172,length
1101,125800790,1295427272,125800790|1295427272|0,92.91840610766849,6.799612942931922,92.91840610766849,length
1102,125800815,1295426973,125800815|1295426973|0,163.9129202771438,11.99487228546264,163.9129202771438,length
1103,125800815,280260511,125800815|280260511|0,23.25800510806692,1.7019817621100688,23.25800510806692,length
1104,125804428,1866964754,125804428|1866964754|0,24.321087837629626,1.7511183243093333,24.321087837629626,length
1105,125804428,280255092,125804428|280255092|0,100.70359833390633,7.250659080041256,100.70359833390633,length
1106,125804428,1866964811,125804428|1866964811|0,129.37187863414354,10.042557766106805,129.37187863414354,length
1107,125809997,492795570,125809997|492795570|0,93.86364180345237,6.868783704037378,93.86364180345237,length
1108,126397454,4581546787,126397454|4581546787|0,62.89383190023774,4.6024650156385665,62.89383190023774,length
1109,126397454,3540014383,126397454|3540014383|0,31.61489516481265,2.3135249447025834,31.61489516481265,length
1110,126401360,129779462,126401360|129779462|0,35.65261656652049,2.608998617283586,35.65261656652049,length
1111,126401360,129692092,126401360|129692092|0,55.839455936394934,4.086237627359091,55.839455936394934,length
1112,126401368,126397454,126401368|126397454|0,68.90186550426769,5.042122826903588,68.90186550426769,length
1113,126401368,126411675,126401368|126411675|0,292.17413621419195,18.4847168354798,292.17413621419195,length
1114,126401370,126401368,126401370|126401368|0,26.845908695457236,1.964538522312584,26.845908695457236,length
1115,126401370,9654865826,126401370|9654865826|0,23.601250430913627,1.7270998785048428,23.601250430913627,length
1116,126404025,4567404049,126404025|4567404049|0,81.07776108412548,6.157155150360758,81.07776108412548,length
1117,126404025,126404027,126404025|126404027|0,27.44088900642368,2.008078182458597,27.44088900642368,length
1118,126404027,126404031,126404027|126404031|0,8.984562764931988,0.6574752174744195,8.984562764931988,length
1119,126404031,126410483,126404031|126410483|0,35.61353839855852,2.606138942566906,35.61353839855852,length
1120,126404031,7801967322,126404031|7801967322|0,25.555131240246634,1.8700815954392938,25.555131240246634,length
1121,126410483,8268096110,126410483|8268096110|0,51.08999537261907,3.738680077954142,51.08999537261907,length
1122,126410483,3584513100,126410483|3584513100|0,269.293281597609,20.904027714680783,269.293281597609,length
1123,126411674,4695525092,126411674|4695525092|0,43.11225364893396,2.7275439611660457,43.11225364893396,length
1124,126411675,12329056492,126411675|12329056492|0,243.9137726422053,15.431472059729021,243.9137726422053,length
1125,126411675,126411674,126411675|126411674|0,88.97706745513125,5.629231656404214,88.97706745513125,length
1126,126542182,4758581105,126542182|4758581105|0,162.53122314652754,10.282715902633033,162.53122314652754,length
1127,126542182,126542188,126542182|126542188|0,165.91231128193817,10.496624147861997,165.91231128193817,length
1128,126542188,26016441,126542188|26016441|0,122.08051952844383,7.723557820180298,122.08051952844383,length
1129,126543210,4758581105,126543210|4758581105|0,203.10375752826363,12.849581741826814,203.10375752826363,length
1130,126543210,126547500,126543210|126547500|0,127.37569906553553,8.058563155027636,127.37569906553553,length
1131,126544301,1143318441,126544301|1143318441|0,73.3116566310593,5.364823937237032,73.3116566310593,length
1132,126544301,126544304,126544301|126544304|0,30.71559191935031,1.9432555749805047,30.71559191935031,length
1133,126544304,126542188,126544304|126542188|0,141.7187175422283,8.965989933260179,141.7187175422283,length
1134,126544304,126547500,126544304|126547500|0,371.73310532451103,23.518102181569507,371.73310532451103,length
1135,126547500,1264279478,126547500|1264279478|0,147.68035003485488,9.343159144509636,147.68035003485488,length
1136,126554316,3149005233,126554316|3149005233|0,34.18425430830832,2.6535700973570733,34.18425430830832,length
1137,126554316,7188056173,126554316|7188056173|0,60.321301936133125,4.414211592309964,60.321301936133125,length
1138,126554316,1143318441,126554316|1143318441|0,137.69528997504764,10.07631012105607,137.69528997504764,length
1139,126580298,126580303,126580298|126580303|0,85.9168044939565,5.435620767321437,85.9168044939565,length
1140,126580298,497690739,126580298|497690739|0,30.86080012394209,2.3145600092956564,30.86080012394209,length
1141,126580303,497690595,126580303|497690595|0,41.6315872981448,3.0465296563444095,41.6315872981448,length
1142,126580884,126580298,126580884|126580298|0,62.27962182994432,3.940188509031238,62.27962182994432,length
1143,126580884,126581622,126580884|126581622|0,112.60992945371001,5.06744682541695,112.60992945371001,length
1144,126581609,126580303,126581609|126580303|0,28.498534982362138,2.1373901236771604,28.498534982362138,length
1145,126581609,126581622,126581609|126581622|0,126.94208732431623,8.031130233151545,126.94208732431623,length
1146,126581622,784545891,126581622|784545891|0,364.01162100551755,16.380522945248288,364.01162100551755,length
1147,126582697,497690598,126582697|497690598|0,87.22153153060535,5.518165752762476,87.22153153060535,length
1148,126582697,7187876758,126582697|7187876758|0,92.93134792898574,6.800560003685762,92.93134792898574,length
1149,126592365,1225943158,126592365|1225943158|0,18.062610341621163,1.3217914965061706,18.062610341621163,length
1150,126592365,9550682909,126592365|9550682909|0,44.402098082381926,3.2492709836676785,44.402098082381926,length
1151,126592365,10876563845,126592365|10876563845|0,37.02641964944695,2.8118365307037028,37.02641964944695,length
1152,126597343,12148105741,126597343|12148105741|0,299.85903980559294,21.943181050207198,299.85903980559294,length
1153,126597343,475341668,126597343|475341668|0,146.78810245352008,10.568743376653448,146.78810245352008,length
1154,126597726,126598827,126597726|126598827|0,136.92952966257542,10.020273067150555,136.92952966257542,length
1155,126598827,6680293205,126598827|6680293205|0,128.1946358598404,9.38106820511934,128.1946358598404,length
1156,126598827,122439068,126598827|122439068|0,137.55610539118882,10.066124826909219,137.55610539118882,length
1157,126600950,3117707239,126600950|3117707239|0,194.0703262326966,26.97881917514999,194.0703262326966,length
1158,126600950,3117707239,126600950|3117707239|1,76.74691699057655,5.616210522321673,76.74691699057655,length
1159,126600950,473849956,126600950|473849956|0,86.93867541053251,6.602240934034744,86.93867541053251,length
1160,126600950,343646810,126600950|343646810|0,118.92852214932783,9.031593286311153,118.92852214932783,length
1161,126600959,9768669304,126600959|9768669304|0,33.996935586593466,2.44777936223473,33.996935586593466,length
1162,126600959,474385798,126600959|474385798|0,72.45905898648302,5.302432273173655,72.45905898648302,length
1163,126600959,475044410,126600959|475044410|0,58.52835681689635,4.214041690816537,58.52835681689635,length
1164,126604779,1561603567,126604779|1561603567|0,8.720179746426156,0.6381281120963893,8.720179746426156,length
1165,126604779,1561603613,126604779|1561603613|0,111.8935455947688,8.188181790108667,111.8935455947688,length
1166,126604780,6409245214,126604780|6409245214|0,30.02058922546397,2.1968563130040692,30.02058922546397,length
1167,126604780,1471128087,126604780|1471128087|0,28.436871668446493,2.0809625213459726,28.436871668446493,length
1168,126604780,4004265925,126604780|4004265925|0,113.55813539254657,8.815007917725723,113.55813539254657,length
1169,126604783,1990333409,126604783|1990333409|0,24.18579471147354,1.7698758474684773,24.18579471147354,length
